16.640112,12.956039,5204,"75 Psc             ",14.19,27.06,8.9,7.5,6.14
16.750729,56.93497,5240,,94.95,-108.76,10.2,-96.0,6.41
16.754416,-29.615143,5241,,18.9,0.29,6.0,31.0,9.38
17.003536,43.942093,5317,"41 And             ",160.86,-61.61,16.6,9.5,5.04
17.005598,32.012127,5319,"78 Psc             ",202.76,-27.48,23.8,13.5,6.23
17.350382,22.57751,5431,,29.37,-15.09,4.3,-10.0,8.38
17.530724,-57.69442,5477,,-2.89,-115.01,7.9,88.3,6.41
17.578085,42.081474,5493,"44 And             ",-135.94,-41.68,18.9,-14.3,5.67
17.663843,68.77862,5518,"32 Cas             ",35.34,-27.69,10.2,4.7,5.32
17.922506,65.01885,5589,"32 Cas             ",23.53,-12.91,8.9,-0.9,5.57
18.704884,-0.9737956,5833,"38 Cet             ",-14.66,205.11,22.7,25.5,5.7
18.898539,0.91245675,5886,,42.19,3.3,7.4,11.2,6.71
19.028408,-34.148808,5916,,19.12,-5.89,3.1,9.7,8.4
19.102055,48.082245,5939,,8.82,-3.95,4.0,-13.6,6.61
19.245861,-2.279162,5985,,259.4,-141.45,33.6,8.5,6.52
19.54747,81.56053,6090,,-3.14,-4.87,3.8,25.3,7.62
20.115866,-11.238998,6272,,-50.06,-75.67,8.5,-10.4,6.16
20.169369,-13.889977,6288,,39.16,6.87,6.2,8.1,6.84
20.171255,15.696039,6289,,48.87,-8.88,9.8,7.4,7.25
20.265268,25.158377,6308,,107.16,-105.3,19.4,-10.2,7.86
20.28072,28.738207,6315,"91 Psc             ",27.94,-75.56,9.4,-35.6,5.23
20.653969,1.7263323,6432,,64.92,-44.83,3.8,-15.7,6.21
20.839523,-17.933928,6487,,4.59,-1.49,4.1,0.4,7.05
21.169943,-41.49255,6592,,16.87,-36.9,13.2,73.7,5.42
22.239485,-17.937353,6909,,70.95,-4.62,12.9,2.0,6.66
22.54631,6.1438212,7007,"mu Psc             ",291.95,-46.06,9.0,34.0,4.84
23.031574,34.79996,7147,,-8.32,-5.09,3.4,-0.8,6.39
23.304289,-79.92658,7231,,32.47,10.82,3.6,-12.3,7.21
23.359777,54.944866,7253,,-0.98,-0.97,1.0,-30.5,6.92
23.46133,89.01564,7283,,64.87,-32.22,10.1,-10.0,6.46
23.576519,-27.36311,7323,,18.33,20.02,5.3,-12.0,7.89
23.960691,-39.947124,7443,,-44.16,-48.75,26.5,10.3,6.43
23.995705,-15.400184,7450,"50 Cet             ",19.79,13.24,5.9,23.3,5.41
24.53153,57.97763,7617,,3.29,-5.62,2.8,-6.3,5.55
24.55265,62.35178,7625,,-7.68,-0.13,5.2,-18.0,6.72
24.715786,-21.275385,7679,,129.28,36.87,14.2,15.5,5.58
25.449865,-60.789337,7921,,13.06,-40.19,8.7,2.0,5.7
25.649029,-20.172565,7986,,4.97,-5.99,3.0,25.0,7.18
26.374596,44.806374,8204,,-12.93,0.27,8.5,-6.0,8.77
26.496918,-5.7332993,8230,,-9.1,-29.82,6.4,10.8,5.37
26.526096,-53.522038,8241,,126.41,59.04,17.5,9.5,5.04
26.787945,10.844238,8306,,7.38,-10.84,3.8,10.0,7.05
26.950058,46.22975,8370,,13.19,-55.49,17.1,-3.1,6.33
27.108412,3.6854482,8404,,-8.3,18.32,9.9,2.6,5.91
27.173178,32.69021,8433,,-167.34,296.96,36.6,-26.5,5.78
27.251406,1.3315282,8454,,18.97,-5.54,10.2,8.5,7.37
27.726812,-50.20614,8593,,-47.88,-3.98,13.3,8.2,5.94
28.217136,-16.92925,8778,,40.96,-52.3,9.8,-4.3,5.78
28.275826,-1.3269461,8798,,-187.84,-350.53,26.5,-17.1,7.43
28.346554,-38.59463,8820,,128.71,29.46,8.6,21.8,6.09
28.960619,-78.34855,8991,"sigma Hyi          ",103.07,53.34,24.2,6.0,6.15
28.962664,23.577322,8993,"7 Ari              ",11.39,-9.06,6.2,13.6,5.76
29.16749,-22.526783,9061,"56 Cet             ",61.86,-29.73,8.1,26.7,4.92
29.515715,31.13438,9171,,-44.14,-45.81,5.8,-45.3,6.94
29.857853,12.2948675,9295,,7.31,-37.12,12.1,-14.0,6.09
29.921368,-66.06656,9318,,33.84,5.88,7.6,5.0,6.09
30.426569,-44.71351,9459,"chi Phe            ",-31.64,-48.89,8.7,-30.6,5.15
30.529903,22.104101,9492,,7.29,-51.52,18.5,-19.2,7.21
30.744038,-15.305932,9572,,25.55,7.4,9.9,5.9,5.87
30.798544,0.1285057,9589,"60 Cet             ",76.66,21.26,11.3,13.0,5.42
30.918701,-4.103516,9622,,6.98,-62.58,4.9,24.5,5.61
32.121918,37.859077,9977,"58 And             ",154.84,-43.43,16.4,7.6,4.78
32.35547,81.295944,10054,,-34.23,7.13,14.6,-9.0,6.05
32.395004,-24.345785,10069,,-31.29,-42.18,16.0,19.9,6.48
32.443993,13.175832,10094,,-10.44,2.55,6.3,22.2,7.73
32.532295,53.84309,10115,,26.0,-45.25,5.5,12.0,6.31
32.842613,-10.052161,10215,,-26.84,-170.72,20.0,11.4,6.0
32.85426,31.526396,10220,"5 Tri              ",35.23,-10.62,6.7,7.7,6.24
32.899315,-1.825429,10234,"63 Cet             ",-10.66,-33.02,9.2,31.6,5.94
33.338104,74.02772,10350,,47.25,-37.01,7.4,-37.0,6.25
33.658257,28.691189,10446,,158.3,-97.84,16.8,18.0,6.35
33.863907,27.35726,10510,,287.06,-138.82,26.8,1.2,8.12
34.293503,23.767834,10657,,-30.94,-39.9,6.7,-13.0,6.53
34.499535,57.89982,10718,"8 Per              ",61.13,4.87,8.6,2.0,5.75
34.64357,21.897549,10767,,36.94,-21.34,4.0,-0.7,7.79
34.919903,-4.345576,10854,,30.39,1.98,5.9,17.8,6.5
35.54896,-43.19981,11043,,60.52,43.37,7.3,-6.6,6.3
35.55165,-0.88485396,11046,"70 Cet             ",-18.51,-46.72,11.6,20.0,5.42
35.736053,8.545459,11106,,22.09,-4.46,7.0,2.0,7.62
35.82218,38.252735,11135,,3.31,-5.01,2.9,14.0,7.13
36.08382,-25.847462,11212,,31.98,15.37,6.0,33.5,6.45
36.204403,10.61056,11249,"xi Ari             ",20.56,-15.34,5.4,-0.5,5.48
36.64674,-20.042618,11381,,85.77,101.21,11.4,42.4,5.89
37.007095,-33.81104,11477,"phi For            ",18.64,5.11,21.3,19.0,5.13
37.018272,-64.29977,11479,,34.31,6.19,8.4,9.0,6.35
37.44224,46.031815,11611,,44.76,-76.73,5.7,34.0,6.71
37.493988,57.820717,11625,,0.22,0.28,0.4,-52.0,7.23
37.660072,19.855303,11678,"26 Ari             ",80.44,-34.89,14.4,15.0,6.14
37.8754,2.2671847,11738,,22.95,-9.09,6.8,25.4,5.27
38.608093,11.604813,11971,,35.71,-28.59,7.9,27.0,6.98
38.83304,-3.5606024,12048,,-156.0,-437.29,27.8,-51.4,6.83
38.891373,44.64001,12064,,6.53,-9.29,3.2,0.0,7.56
39.400284,65.74534,12239,,43.24,-9.07,4.0,41.4,5.8
39.424168,-3.396176,12247,"81 Cet             ",39.55,-44.65,10.2,7.7,5.65
39.43508,-22.991901,12250,,2.61,41.71,5.0,24.3,6.77
39.57776,-30.194061,12288,"iota^2 For         ",98.43,-73.63,27.9,29.0,5.84
40.535183,-46.52444,12611,,10.14,-94.05,24.4,13.0,6.09
40.761826,55.10602,12692,"11 Per             ",34.79,-20.84,7.7,-0.7,5.76
41.079636,17.763927,12784,"36 Ari             ",36.83,-36.17,7.8,-33.9,6.4
41.38598,-67.616615,12876,"zeta Hyi           ",66.76,43.96,11.0,3.6,4.83
41.74301,35.98352,12982,,53.88,-4.4,7.9,22.2,6.27
