0.0050212993,38.8592777675,2.26,4.28,-3.42,0.0
0.0220101228,20.0361142882,17.28,-208.26,-200.65,8.3
0.0273274116,25.8864502944,4.98,13.2,-10.0,-31.0
0.0373374306,46.9399965272,4.18,11.45,-2.12,-25.8
0.0484234535,-0.3604584275,4.86,62.2,-15.3,21.61
0.0533070815,38.3040489724,4.01,-3.17,-15.37,6.3
0.0630463964,23.5292296311,10.35,36.11,-22.48,37.8
0.0663867118,8.0072337409,5.28,61.48,-0.23,-11.72
0.0745611323,13.3122319943,11.59,52.61,8.65,-3.2
0.0795755249,-44.2905576123,12.29,61.7,-107.1,3.0
0.096110681,42.1414736164,4.09,-7.66,-10.46,-14.1
0.098086755,2.6754797274,3.26,-2.92,0.83,3.52
0.099177624,-10.4623854394,8.79,-1.2,28.36,-18.2
0.099588719,26.9181130263,13.4,43.6,-51.5,-18.0
0.1033985152,12.2671280371,5.42,49.38,14.37,-11.9
0.1053217824,-47.1795672092,2.62,-8.4,6.9,0.4
0.1131386628,-79.0619846323,23.64,163.31,-63.08,10.0
0.1122859436,-16.6970086993,10.81,167.23,-32.26,-1.9
0.1254485136,25.8447645585,6.12,22.84,-6.53,-6.9
0.1287017183,59.5596802796,7.34,-80.74,-23.69,-33.3
0.1327521161,-3.3063209765,2.98,12.14,16.87,0.8
0.1431136974,-53.0977314445,16.83,60.1,-28.3,-16.4
0.1474307445,-29.2634141943,0.52,14.8,-12.97,11.42
0.152586218,17.9689118249,19.92,364.36,-18.03,-8.5
0.1588885512,-66.6831877567,15.4,171.8,-34.7,1.9
0.1629296991,0.2229305031,3.94,40.2,-3.5,21.4
0.1680043164,-69.6759639503,33.48,-40.14,-67.24,36.4
0.1735133451,62.175899318,25.77,-48.02,-43.39,4.1
0.1744434376,55.7224606669,-1.96,-0.99,-0.82,-26.0
0.1818098147,45.2533330729,5.32,17.42,0.03,-1.0
0.1993439386,23.5382202308,6.65,91.59,-11.75,-11.2
0.2004608298,16.9882232005,31.66,-69.0,-305.0,-21.9
0.2203288624,66.8480102097,3.57,-20.82,17.86,-11.91
0.2305751986,-30.0641673279,4.79,19.16,2.49,-1.0
0.2428274669,-11.8237402667,13.68,416.74,-83.54,-11.3
0.2434127742,-4.9325337676,22.84,-184.89,-172.4,0.03
0.2561376363,-24.7140496749,3.28,48.69,-0.36,-9.0
0.2690923528,-48.8098735046,5.5,-18.18,-5.91,8.0
0.2800823886,-41.8875471287,8.83,25.29,-48.33,12.9
0.2923461923,-0.0760872592,16.34,50.8,-68.7,-2.6
0.3049510536,13.975097963,28.45,24.2,144.1,-4.0
0.31606219,60.3552873886,1.14,9.3,-4.3,-34.0
0.3163784977,19.7412422637,5.43,-28.27,-30.51,22.9
0.3197156429,-47.7938314283,8.33,-12.86,-0.6,9.0
0.3302156264,49.9815565825,5.01,13.46,-11.7,-19.8
0.3338320922,-50.337371719,6.01,7.96,11.29,2.3
0.3486117995,39.6107019825,20.15,-30.4,-47.7,-2.1
0.3576708795,-16.9484458599,31.13,296.83,-254.79,6.3
0.3656165027,49.0104041758,0.56,-1.13,-2.82,-36.0
0.3716470641,30.7357824139,8.49,-10.3,-39.8,-11.0
0.3901668243,44.6754021957,6.43,-10.42,-18.01,0.53
0.3964250338,28.4236917125,4.42,-18.68,-34.02,-15.96
0.3987564933,-77.0657247591,15.02,-57.31,-177.05,22.6
0.3998914109,72.2366143948,5.91,-43.96,3.31,-13.32
0.4042300424,61.2228021257,1.06,-3.02,-0.73,-25.1
0.4144160768,73.6118448832,14.13,75.57,-13.02,-8.02
0.4198645356,62.0180878601,7.99,-15.0,-25.85,1.0
0.4234752097,-40.1487052363,4.79,33.48,-16.18,-8.4
0.4286903385,24.2531121024,5.54,18.05,-28.33,-7.69
0.4327072359,42.3671434875,2.67,5.44,-1.98,-9.6
0.4537826186,66.3060330551,16.76,5.55,12.67,-21.68
0.4552810091,76.1755967395,2.63,18.78,-5.97,-6.0
0.4560355785,-3.0275026535,7.18,19.1,-9.67,23.0
0.4558403785,-25.7985383293,3.77,-130.2,-346.9,43.0
0.4788218947,15.5285399951,3.9,11.47,4.75,-13.2
0.4778499592,26.004045094,21.97,-308.69,-630.38,-92.7
0.4848775537,-41.6137748893,7.36,90.74,-15.7,11.8
0.4900778431,-6.0140713458,7.55,46.2,-41.1,-11.7
0.4969289212,63.3578278997,3.35,8.14,-7.34,-7.0
0.5109076209,-2.7661702242,16.01,39.62,-2.82,2.8
0.5171932756,-30.6852296172,3.81,17.87,2.12,6.8
0.5278239318,39.1832025868,4.34,5.32,-4.49,5.0
0.5334275928,-2.8200719619,1.43,-38.84,-93.14,-127.85
0.5363035463,-68.2807163987,65.24,195.2,-209.9,-26.8
0.5424540606,27.0820843602,82.17,829.9,-989.4,-36.22
0.5428710798,67.4089509542,1.14,-1.56,-2.22,-13.0
0.5495687187,47.5772052647,2.63,-8.51,-6.98,-13.0
0.5516467844,59.9653433541,4.72,16.5,2.1,-67.7
0.5524067285,49.77108473,4.52,-7.77,-22.32,-2.0
0.5695103109,-13.4074333133,15.32,259.4,33.9,-21.5
0.573770943,60.7031678997,2.75,-9.2,-10.94,-21.39
0.5830105938,-29.7204128939,6.49,12.6,14.6,8.6
0.5897658999,11.0062366978,32.06,-3.97,-42.88,-17.53
0.5900383833,10.7853547139,12.92,-45.2,-119.0,-7.0
0.6006952879,8.9568246012,8.14,-0.96,-3.69,9.2
0.6054361403,10.7763657093,11.43,-48.44,-117.71,-6.0
0.6198247293,8.3938607847,3.67,-2.65,-28.58,-30.3
0.6237578359,8.4854631187,27.1,-94.16,-47.43,9.2
0.6257805044,47.4228900875,8.5,12.06,-28.62,-3.3
0.6350021765,16.2565633644,3.93,-11.91,5.12,-11.0
0.6392665334,18.6834110467,10.06,-18.5,19.2,-17.6
0.6503882028,66.0989659658,0.73,7.4,1.5,-16.9
0.6601731481,66.10037242,-7.07,2.91,-3.6,-6.7
0.6621305705,-8.4879592156,7.42,-7.3,-6.4,14.6
0.663496657,-29.0752453608,5.16,19.33,2.46,3.94
0.66702858,51.4724009259,6.96,42.37,-4.91,-6.22
0.6691757392,28.5422199658,3.77,0.99,-0.66,11.4
0.6768822391,42.9206575722,3.87,-12.1,-14.0,-46.8
0.6917809131,35.8154674042,5.67,13.85,-2.22,-2.0
0.6965625051,2.1301486269,23.46,62.2,-93.7,-2.9
0.7004464695,-24.9453100766,-0.11,50.1,-22.8,34.0
0.7139979943,47.2522701932,2.85,17.81,-4.15,-26.0
0.7301159247,-30.1497735348,5.42,19.48,2.59,1.3
0.7378666525,-0.8938718486,2.72,20.5,-17.3,5.03
0.7395359463,-20.0458843277,16.35,101.22,78.09,-4.2
0.764474093,56.7332984607,18.02,177.51,46.97,-50.45
0.7827196503,-24.1451420877,4.91,55.11,-1.76,25.2
0.7847800448,42.7479064999,6.16,33.39,-4.32,-9.1
0.803066366,-31.2123836489,4.7,18.18,4.16,10.5
0.805477899,17.5522679391,5.83,58.77,-52.98,-18.5
0.8259538386,32.8458627174,5.51,54.53,-2.7,-51.27
0.8320750954,38.2440105032,3.93,-1.21,-1.99,-35.9
0.8353579956,-4.1457553419,10.15,-21.89,-10.34,1.8
0.8498666795,73.1745045641,4.76,-22.6,5.7,-14.0
0.8528377563,-35.9651611555,4.95,22.05,5.12,9.0
0.8568639942,-46.8309752317,1.33,-1.82,-2.28,-1.0
0.8571337906,63.6405254561,1.31,-3.9,0.2,-41.3
0.8576231447,-29.0006647917,5.94,-18.8,-21.0,5.93
0.8580631741,20.6655329499,17.19,58.23,-158.4,-31.8
0.8594966592,-36.2511908154,15.24,72.29,5.84,12.0
0.8631136269,55.5508980194,1.57,-1.19,-1.72,-41.0
0.8637670974,62.3578072268,0.3,-1.56,1.27,-2.0
0.8662035217,53.3126883714,3.9,-15.51,-5.06,-8.0
0.8764289259,19.381497694,1.65,0.6,-30.37,-47.28
0.8771221637,12.3568214997,6.92,-13.45,-3.02,7.1
0.8890843502,42.3521058237,5.91,98.86,-46.86,3.33
0.9043764596,-31.0941703922,15.43,92.5,-56.7,-8.2
